Player,Position,Age,Matches,Goals   ,Assists,Market Value
Erling Haaland,Centre-Forward,21,53,52,9,€200.00m
Kylian Mbappé,Centre-Forward,23,43,41,10,€180.00m
Mohamed Salah,Right Winger,30,51,30,16,€55.00m
Robert Lewandowski,Centre-Forward,33,46,33,8,€15.00m
Marcus Rashford,Left Winger,24,56,30,11,€60.00m
Lionel Messi,Right Winger,35,41,21,20,€25.00m
Kevin De Bruyne,Attacking Midfield,31,49,10,31,€45.00m
Randal Kolo Muani,Centre-Forward,23,46,23,17,€40.00m
Vinicius Junior,Left Winger,21,53,20,20,€200.00m
Lautaro Martínez,Centre-Forward,24,57,28,11,€110.00m
Harry Kane,Centre-Forward,28,49,32,5,€100.00m
Alexandre Lacazette,Centre-Forward,31,39,31,6,€9.00m
Victor Osimhen,Centre-Forward,23,39,31,5,€75.00m
Karim Benzema,Centre-Forward,34,42,30,5,€10.00m
Neymar,Left Winger,30,29,18,17,€30.00m
Antoine Griezmann,Centre-Forward,31,48,16,19,€25.00m
Wissam Ben Yedder,Centre-Forward,31,43,25,7,€4.00m
Christopher Nkunku,Attacking Midfield,24,36,23,9,€65.00m
Jamal Musiala,Attacking Midfield,19,47,16,16,€130.00m
Rafael Leão,Left Winger,23,48,16,15,€75.00m
Khvicha Kvaratskhelia,Left Winger,21,43,14,17,€80.00m
Jonathan David,Centre-Forward,22,40,26,4,€45.00m
Rodrygo,Right Winger,21,55,18,11,€110.00m
Serge Gnabry,Left Winger,26,47,17,12,€40.00m
Riyad Mahrez,Right Winger,31,47,15,13,€12.00m
